70600674
         6558 function calls in 0.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.exec}
        1    0.000    0.000    0.003    0.003 attempt3.py:3(<module>)
     4952    0.001    0.000    0.001    0.000 attempt3.py:28(get_num_at_pos)
      400    0.000    0.000    0.001    0.000 attempt3.py:45(get_down)
      400    0.000    0.000    0.001    0.000 attempt3.py:71(get_right)
      400    0.000    0.000    0.001    0.000 attempt3.py:126(get_diagonal_down_left)
      400    0.000    0.000    0.001    0.000 attempt3.py:98(get_diagonal_down_right)
        1    0.000    0.000    0.000    0.000 attempt3.py:26(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


